instance;optimal;time;heur_time;value;heur_value;heur_gap
taxe_grille_10x10.txt;true;4.5;86.66499996185303;97.0;90.0;7.2
taxe_grille_10x5.txt;true;0.281;6.0;136.0;128.0;5.9
taxe_grille_10x6.txt;true;0.3;11.169000148773193;90.0;89.0;1.1
taxe_grille_10x7.txt;true;2.559;20.365999937057495;115.0;98.47664;14.4
taxe_grille_10x8.txt;true;0.554;22.89400005340576;69.0;66.0;4.3
taxe_grille_10x9.txt;true;15.476;30.90499997138977;109.0;76.45455;29.9
taxe_grille_2x3.txt;true;0.03;0.02499985694885254;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.004;0.08299994468688965;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.018;0.4200000762939453;18.0;17.0;5.6
taxe_grille_5x6.txt;true;0.062;1.0469999313354492;38.0;32.625;14.1
taxe_grille_6x10.txt;true;0.326;2.8259999752044678;39.0;37.0;5.1
taxe_grille_6x11.txt;true;0.786;5.957000017166138;86.0;68.0;20.9
taxe_grille_6x7.txt;true;0.18;2.4810001850128174;34.0;31.0;8.8
taxe_grille_6x8.txt;true;0.212;2.9059998989105225;37.0;35.0;5.4
taxe_grille_6x9.txt;true;0.416;3.186000108718872;39.0;30.45679;21.9
taxe_grille_7x10.txt;true;0.248;6.223999977111816;77.0;69.81818;9.3
taxe_grille_7x11.txt;true;0.694;12.82200002670288;105.0;92.69136;11.7
taxe_grille_7x8.txt;true;0.316;4.927000045776367;42.0;39.0;7.1
taxe_grille_7x9.txt;true;0.677;4.926000118255615;58.0;48.0;17.2
taxe_grille_8x10.txt;true;0.354;19.0310001373291;35.0;35.0;0.0
taxe_grille_8x11.txt;true;10.984;40.64800000190735;79.0;61.0;22.8
taxe_grille_8x12.txt;true;4.931;20.26699995994568;99.0;89.0;10.1
taxe_grille_8x13.txt;true;1.172;40.80400013923645;64.0;51.0;20.3
taxe_grille_8x14.txt;true;2.18;41.388999938964844;50.0;46.0;8.0
taxe_grille_8x9.txt;true;0.328;23.920000076293945;30.0;29.73333;0.9
taxe_grille_9x10.txt;true;1.127;49.18999981880188;67.0;58.0;13.4
taxe_grille_9x11.txt;true;0.713;47.06500005722046;79.0;67.0;15.2
taxe_grille_9x12.txt;true;1.667;71.97200012207031;140.0;133.0;5.0
taxe_grille_9x13.txt;true;29.547;89.07500004768372;176.0;147.61404;16.1
